
date,series_id,value,city
2021-05-01,NEWY636UR,8.4,New York
2021-06-01,NEWY636UR,8.1,New York
2021-07-01,NEWY636UR,7.8,New York
2021-08-01,NEWY636UR,7.3,New York
2021-09-01,NEWY636UR,6.9,New York
2021-10-01,NEWY636UR,6.5,New York
2021-11-01,NEWY636UR,6.2,New York
2021-12-01,NEWY636UR,5.8,New York
2022-01-01,NEWY636UR,5.5,New York
2022-02-01,NEWY636UR,5.3,New York
2022-03-01,NEWY636UR,5.0,New York
2022-04-01,NEWY636UR,4.7,New York
2022-05-01,NEWY636UR,4.4,New York
2022-06-01,NEWY636UR,4.1,New York
2022-07-01,NEWY636UR,4.0,New York
2022-08-01,NEWY636UR,3.9,New York
2022-09-01,NEWY636UR,3.9,New York
2022-10-01,NEWY636UR,3.9,New York
2022-11-01,NEWY636UR,4.0,New York
2022-12-01,NEWY636UR,4.1,New York
2023-01-01,NEWY636UR,4.1,New York
2023-02-01,NEWY636UR,4.2,New York
2023-03-01,NEWY636UR,4.2,New York
2023-04-01,NEWY636UR,4.2,New York
2023-05-01,NEWY636UR,4.2,New York
2023-06-01,NEWY636UR,4.2,New York
2023-07-01,NEWY636UR,4.3,New York
2023-08-01,NEWY636UR,4.4,New York
2023-09-01,NEWY636UR,4.4,New York
2023-10-01,NEWY636UR,4.4,New York
2023-11-01,NEWY636UR,4.4,New York
2023-12-01,NEWY636UR,4.3,New York
2024-01-01,NEWY636UR,4.3,New York
2024-02-01,NEWY636UR,4.3,New York
2024-03-01,NEWY636UR,4.3,New York
2024-04-01,NEWY636UR,4.4,New York
2024-05-01,NEWY636UR,4.5,New York
2024-06-01,NEWY636UR,4.6,New York
2024-07-01,NEWY636UR,4.7,New York
2024-08-01,NEWY636UR,4.7,New York
2024-09-01,NEWY636UR,4.7,New York
2024-10-01,NEWY636UR,4.7,New York
2024-11-01,NEWY636UR,4.7,New York
2024-12-01,NEWY636UR,4.7,New York
2025-01-01,NEWY636UR,4.6,New York
2025-02-01,NEWY636UR,4.5,New York
2025-03-01,NEWY636UR,4.4,New York
2025-04-01,NEWY636UR,4.4,New York
2025-05-01,NEWY636UR,4.3,New York
2025-06-01,NEWY636UR,4.3,New York
1990-01-01,LOSA106UR,4.9,Los Angeles
1990-02-01,LOSA106UR,4.9,Los Angeles
1990-03-01,LOSA106UR,4.9,Los Angeles
1990-04-01,LOSA106UR,4.9,Los Angeles
1990-05-01,LOSA106UR,5.0,Los Angeles
1990-06-01,LOSA106UR,5.1,Los Angeles
1990-07-01,LOSA106UR,5.2,Los Angeles
1990-08-01,LOSA106UR,5.4,Los Angeles
1990-09-01,LOSA106UR,5.6,Los Angeles
1990-10-01,LOSA106UR,5.8,Los Angeles
1990-11-01,LOSA106UR,6.0,Los Angeles
1990-12-01,LOSA106UR,6.3,Los Angeles
1991-01-01,LOSA106UR,6.5,Los Angeles
1991-02-01,LOSA106UR,6.7,Los Angeles
1991-03-01,LOSA106UR,6.9,Los Angeles
1991-04-01,LOSA106UR,7.1,Los Angeles
1991-05-01,LOSA106UR,7.3,Los Angeles
1991-06-01,LOSA106UR,7.5,Los Angeles
1991-07-01,LOSA106UR,7.6,Los Angeles
1991-08-01,LOSA106UR,7.7,Los Angeles
1991-09-01,LOSA106UR,7.7,Los Angeles
1991-10-01,LOSA106UR,7.9,Los Angeles
1991-11-01,LOSA106UR,8.0,Los Angeles
1991-12-01,LOSA106UR,8.1,Los Angeles
1992-01-01,LOSA106UR,8.3,Los Angeles
1992-02-01,LOSA106UR,8.4,Los Angeles
1992-03-01,LOSA106UR,8.6,Los Angeles
1992-04-01,LOSA106UR,8.8,Los Angeles
1992-05-01,LOSA106UR,9.0,Los Angeles
1992-06-01,LOSA106UR,9.2,Los Angeles
1992-07-01,LOSA106UR,9.4,Los Angeles
1992-08-01,LOSA106UR,9.5,Los Angeles
1992-09-01,LOSA106UR,9.6,Los Angeles
1992-10-01,LOSA106UR,9.6,Los Angeles
1992-11-01,LOSA106UR,9.7,Los Angeles
1992-12-01,LOSA106UR,9.7,Los Angeles
1993-01-01,LOSA106UR,9.7,Los Angeles
1993-02-01,LOSA106UR,9.6,Los Angeles
1993-03-01,LOSA106UR,9.6,Los Angeles
1993-04-01,LOSA106UR,9.5,Los Angeles
1993-05-01,LOSA106UR,9.4,Los Angeles
1993-06-01,LOSA106UR,9.3,Los Angeles
1993-07-01,LOSA106UR,9.2,Los Angeles
1993-08-01,LOSA106UR,9.2,Los Angeles
1993-09-01,LOSA106UR,9.1,Los Angeles
1993-10-01,LOSA106UR,9.1,Los Angeles
1993-11-01,LOSA106UR,9.1,Los Angeles
1993-12-01,LOSA106UR,9.1,Los Angeles
1994-01-01,LOSA106UR,9.1,Los Angeles
1994-02-01,LOSA106UR,9.1,Los Angeles
1994-03-01,LOSA106UR,9.0,Los Angeles
1994-04-01,LOSA106UR,8.9,Los Angeles
1994-05-01,LOSA106UR,8.8,Los Angeles
1994-06-01,LOSA106UR,8.6,Los Angeles
1994-07-01,LOSA106UR,8.5,Los Angeles
1994-08-01,LOSA106UR,8.3,Los Angeles
1994-09-01,LOSA106UR,8.1,Los Angeles
1994-10-01,LOSA106UR,7.8,Los Angeles
1994-11-01,LOSA106UR,7.6,Los Angeles
1994-12-01,LOSA106UR,7.4,Los Angeles
1995-01-01,LOSA106UR,7.3,Los Angeles
1995-02-01,LOSA106UR,7.2,Los Angeles
1995-03-01,LOSA106UR,7.2,Los Angeles
1995-04-01,LOSA106UR,7.2,Los Angeles
1995-05-01,LOSA106UR,7.3,Los Angeles
1995-06-01,LOSA106UR,7.4,Los Angeles
